NOS	ACTR	CIMA	COCH	COCO	COFR	ESAS	FOMA	FRPO	GEST	HYBO	LOPU	MAMA	PADO	PEAS	PHBO	PLCU	PYJO	SATE	STPI	TEBO	TUNI	ZOBO	ZOOL
ID271	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	1	0	0	5	0
ID272	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0
ID273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
ID274	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
ID275	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	6	0
ID276	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	0	9	0
ID277	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	14	0
ID278	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	11	0
ID279	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	11	0
ID280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	6	0
ID281	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	9	0
ID282	1	0	0	8	0	1	6	0	5	0	0	0	14	0	0	42	0	3	0	0	0	6	0
ID283	9	0	0	2	0	0	9	0	3	0	0	0	0	0	0	0	0	6	0	0	0	5	0
ID284	11	0	0	6	0	0	21	0	0	0	0	0	12	0	0	0	0	1	0	0	0	1	0
ID285	9	0	0	2	0	1	7	0	1	0	0	0	1	0	0	0	0	1	6	0	0	4	0
ID286	20	1	0	8	1	2	5	0	2	0	0	0	0	0	0	3	0	5	0	0	0	0	0
ID287	19	0	0	2	0	0	5	0	0	0	0	0	13	0	0	0	0	2	0	0	0	0	0
ID288	7	0	0	2	3	0	57	0	0	0	0	0	0	0	0	0	0	5	0	0	0	7	0
ID289	10	0	0	2	4	0	15	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0
ID290	7	0	0	0	4	2	4	0	0	0	0	0	12	0	0	0	0	7	0	0	0	0	0
ID291	0	0	0	2	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID292	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ID293	2	0	0	0	4	6	16	0	1	0	0	0	0	0	2	0	0	0	0	0	5	2	0
ID294	1	0	0	0	0	0	5	0	0	0	0	0	3	0	0	3	0	0	0	0	0	2	0
ID295	1	0	0	0	0	8	20	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0
ID296	2	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID297	1	0	0	0	0	10	7	0	2	0	0	0	1	0	0	1	0	0	0	0	0	8	0
ID298	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0
ID299	4	0	0	0	0	10	4	0	4	0	0	0	16	0	0	0	0	0	0	0	1	1	0
ID300	6	0	0	2	1	21	5	0	0	0	0	0	11	0	0	1	0	0	0	0	0	7	0
ID301	4	0	0	0	3	8	34	0	0	0	0	0	17	0	0	2	0	0	0	0	0	5	0
ID302	3	0	0	0	2	7	25	0	6	0	0	0	11	0	0	0	0	0	0	0	0	4	0
ID303	7	0	0	0	1	5	57	0	0	0	0	0	15	0	0	2	0	0	0	0	5	9	0
ID304	0	0	0	0	1	7	13	0	0	0	1	0	9	0	0	3	0	0	0	0	1	0	0
ID305	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID306	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ID307	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ID308	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ID309	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID310	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID311	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID312	1	0	0	0	0	3	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0
ID313	0	0	0	0	1	7	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	4	0
ID314	0	0	0	0	0	11	2	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0
ID315	2	0	0	0	0	0	3	0	0	2	0	0	2	0	0	0	0	2	0	0	0	3	2
ID316	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	3	0	0	0	4	4
ID317	0	0	0	0	3	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	4
ID318	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	3
ID319	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	3	0	0	0	5	0
ID320	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	1	0	1	8	0
ID321	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	4	0
ID322	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	2	0	0	0	4	2
ID323	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	6	3
ID324	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	3	0	0	0	8	2
ID325	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	4	0	0	0	5	0
ID326	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	3	1
ID327	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	2	0
ID328	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	6	0
ID329	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0
ID330	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	3	0	0	0	2	0
ID331	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	3	1
ID332	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	3	0	2	0	1	3
ID333	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	3	0	0	0	4	0
ID334	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	2	1
ID335	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	3	0
ID336	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	5	2
ID337	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0
ID338	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	3
ID339	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	4	2
ID340	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	2	3
ID341	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	3	0
ID342	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	4
ID343	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0
ID344	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	3	0
ID345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ID346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ID347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ID348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ID349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ID350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ID351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ID352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ID353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ID354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
ID355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0
ID356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0
ID357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ID358	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	8	0
ID359	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	7	0
ID360	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0
ID361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	5	0
ID362	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	1	0	2	3
ID363	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	1	0	0	3	0
ID364	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0
ID365	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	2	0	4	0
ID366	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	5	0
ID367	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
ID368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	9	0
ID369	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0	16	0
ID370	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	2	0	8	0
ID371	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	6	0
ID372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	6	0
ID373	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	3
ID374	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0
ID375	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0
ID376	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	1	0	2	2
ID377	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	3	0
ID378	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID379	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0
ID380	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	5	0
ID381	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ID382	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID383	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ID384	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID385	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ID386	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ID387	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	2	4	0
ID388	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
ID389	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
ID390	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
ID391	1	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ID392	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
ID393	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID394	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID395	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ID396	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ID397	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0
ID398	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID399	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ID400	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0
ID401	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID402	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0
ID403	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
ID404	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ID405	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0
ID406	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0
ID407	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	5	0
ID408	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0
ID409	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ID410	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
