NOS	ACTR	CIMA	COCH	COCO	COFR	ESAS	FOMA	FRPO	GEST	HYBO	LOPU	MAMA	PADO	PEAS	PHBO	PLCU	PYJO	SATE	STPI	TEBO	TUNI	ZOBO	ZOOL
ID62	1	0	0	4	0	0	6	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0
ID63	3	0	0	0	0	2	6	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0
ID64	6	0	0	4	0	0	2	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0
ID65	25	0	0	0	0	1	7	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0
ID66	6	0	0	0	0	15	2	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0
ID67	0	0	0	0	0	0	6	0	0	0	0	0	7	0	0	0	0	3	0	0	0	0	0
ID68	7	0	0	0	2	0	10	0	0	0	0	0	5	0	0	0	0	4	0	0	0	0	0
ID69	2	0	0	0	1	0	2	0	0	0	0	3	0	0	0	0	0	8	0	0	1	1	0
ID70	1	0	0	0	1	1	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	7	0
ID71	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ID72	5	0	0	0	2	8	6	0	0	0	0	0	0	0	0	8	0	1	0	0	0	3	0
ID73	3	0	0	0	0	3	4	0	4	0	0	0	3	0	0	0	1	2	0	1	0	2	1
ID74	3	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
ID75	2	0	0	0	2	6	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ID76	3	0	0	0	1	0	6	0	3	0	0	0	7	0	0	3	3	0	0	0	0	0	0
ID77	2	0	0	0	10	1	3	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0
ID78	1	1	0	0	4	0	6	0	2	0	0	0	0	0	0	0	3	0	1	0	0	2	0
ID79	0	0	0	0	6	0	2	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0
ID80	5	2	0	0	1	0	0	0	6	0	0	0	0	0	0	0	4	2	0	1	0	4	0
ID81	34	0	0	2	2	0	4	0	8	2	0	0	0	0	0	0	2	2	0	0	0	0	0
ID82	2	0	0	0	1	0	12	0	31	0	0	0	0	0	0	0	1	4	0	0	0	0	0
ID83	2	0	0	0	0	2	6	0	5	0	0	0	0	0	0	0	4	1	0	0	0	3	0
ID84	0	0	0	0	2	5	2	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0
ID85	4	0	0	0	0	2	4	0	1	0	0	0	0	0	0	0	4	1	0	0	0	3	2
ID86	2	0	0	0	0	7	2	0	0	1	0	0	0	0	0	0	3	0	0	0	0	6	0
ID87	2	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	4	1	0	0	0	0	0
ID88	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	4	0
ID89	4	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0
ID90	3	0	0	0	0	0	11	0	0	0	0	0	5	0	0	0	0	4	0	0	0	3	0
ID91	0	0	0	0	0	1	8	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0
ID92	6	0	0	0	0	5	10	0	0	0	0	0	1	0	0	0	0	4	0	0	0	3	0
