"num";"ptec";"alti";"acac";"acmi";"boco";"bran";"cann";"cult";"four";"fria";"frib";"patu";"exot";"sava";"savh";"tama";"urba"
24;"TA27";1175;0,31;0;0;0;0;0,56;0;0;0;0,13;0;0;0;0;0,11
25;"TA28";1180;0;0;0;0;0;0,71;0;0,04;0;0;0,04;0;0;0;0,26
26;"TA29";1115;0;0;0;0;0;0,71;0;0;0;0;0;0;0;0;0,3
27;"TA30";1110;0,49;0;0;0;0;0;0;0;0;0,44;0;0;0;0;0,08
28;"TA31";1150;0;0;0;0;0;0,87;0;0,04;0;0,1;0;0;0;0;0,08
29;"TA32";1230;0,43;0;0;0;0;0,17;0;0;0;0,24;0;0;0;0;0,19
30;"TA33";945;0,4;0;0;0;0;0,01;0;0;0;0;0,13;0;0;0;0,47
31;"TA35";930;0,27;0;0;0;0;0,85;0;0;0;0;0;0;0;0;0,02
32;"TA36";980;0,12;0;0;0;0;0,82;0;0,06;0;0;0;0;0;0;0
33;"TA37";995;0,4;0;0;0;0;0,17;0;0;0;0;0,03;0;0;0;0,42
34;"TA38";1040;0,21;0;0;0;0;0,5;0;0,19;0;0;0;0;0;0;0,35
35;"TA39";1050;0,22;0;0;0;0;0,64;0;0,11;0;0;0;0;0;0;0
36;"TA40";980;0,01;0;0;0;0;0,88;0;0,13;0;0;0;0;0;0;0
37;"TA41";930;0,03;0;0;0;0;0,96;0;0,03;0;0;0;0;0;0;0
38;"TA42";870;0;0;0;0;0;0,83;0;0,18;0;0;0;0;0;0;0
39;"TA43";920;0,16;0;0;0;0;0,63;0;0,08;0;0;0;0;0;0;0,15
40;"TA44";1015;0,09;0;0;0;0;0,67;0;0,18;0;0;0;0;0;0;0,07
41;"TA45";1090;0,38;0;0;0;0;0,23;0;0,09;0;0,24;0;0;0;0;0,01
42;"TA46";1365;0,5;0;0;0;0;0;0;0,25;0;0;0;0;0;0;0,27
43;"TA47";1345;0,4;0;0;0;0;0;0;0,25;0;0,2;0;0;0;0;0,11
44;"TA48";1350;0,55;0;0;0;0;0,02;0;0;0,22;0,13;0;0;0;0;0,22
45;"TA49";1600;0,17;0;0;0;0;0;0;0,54;0;0,23;0,08;0;0;0;0
46;"TA51";1620;0;0;0;0;0;0;0;0,51;0;0,64;0;0;0;0;0
47;"TA52";1615;0;0;0;0;0;0;0;0,08;0;0,93;0;0;0;0;0
48;"TA53";1620;0;0;0;0;0;0;0;0,33;0;0,77;0;0;0;0;0,04
49;"TA54";1610;0,11;0;0,02;0;0;0;0;0,23;0;0,56;0,19;0;0;0;0
50;"TA55";1595;0;0;0;0;0;0;0;0,06;0;0,95;0;0;0;0;0
51;"TA56";1610;0;0;0;0;0;0;0;0,26;0;0,75;0;0;0;0;0
52;"TA57";1600;0;0;0;0;0;0;0;0,34;0;0,6;0;0;0;0;0
53;"TA58";1590;0,02;0;0;0;0;0;0;0,62;0;0,15;0,24;0;0;0;0
54;"TA59";1580;0;0;0;0;0;0;0;0,29;0;0,72;0;0;0;0;0
55;"TA60";1550;0;0;0;0;0;0;0;0,21;0;0,8;0;0;0;0;0
56;"TA61";1600;0;0;0;0;0;0;0;0,27;0;0,72;0;0;0;0,03;0
57;"TA62";1600;0,04;0;0;0;0;0;0;0,04;0;0,94;0;0;0;0;0
58;"TA63";1620;0,07;0;0;0;0;0;0;0,73;0;0,21;0;0;0;0;0
59;"TA64";1560;0,08;0;0;0;0;0;0;0,13;0;0,81;0;0;0;0;0
60;"TA67";1620;0;0;0;0;0;0;0;0,04;0;0,73;0;0;0;0,25;0
61;"TA68";1620;0,13;0;0,1;0;0;0;0;0,01;0;0,78;0;0;0;0;0
62;"TA69";1650;0;0;0;0;0;0;0;0,28;0;0,73;0;0;0;0;0
63;"TA70";1650;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
64;"TA71";1650;0,01;0;0;0;0;0;0;0,15;0;0,85;0;0;0;0;0
65;"TA72";930;0;0;0;0;0;0,1;0;0,37;0;0,55;0;0;0;0;0
66;"TA73";900;0;0;0;0;0;0,26;0;0,4;0;0,36;0;0;0;0;0
67;"TA74";850;0;0;0;0;0,97;0;0;0,04;0;0;0;0;0;0;0
68;"TA75";790;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
69;"TA76";820;0;0;0;0;0,22;0,21;0;0,31;0;0;0;0;0;0;0,27
70;"TA77";880;0;0;0;0;0,46;0,07;0;0,48;0;0;0;0;0;0;0
71;"TA78";800;0;0;0;0;0;0,62;0;0,39;0;0;0;0;0;0;0
