"num";"ptec";"alti";"acac";"acmi";"boco";"bran";"cann";"cult";"four";"fria";"frib";"patu";"exot";"sava";"savh";"tama";"urba"
144;"TA167";1800;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
145;"TA168";1010;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
146;"TA169";1860;0,06;0;0;0;0;0;0;0;0;0;0,95;0;0;0;0
147;"TA170";1850;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
148;"TA171";1820;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
149;"TA172";2070;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
150;"TA173";2140;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
151;"TA174";2120;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
152;"TA175";2070;0,27;0;0;0,74;0;0;0;0;0;0;0;0;0;0;0
153;"TA176";2250;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
154;"TA177";2300;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
155;"TA178";2360;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
156;"TA179";2320;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
157;"TA180";2300;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
158;"TA181";2310;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
159;"TA182";2340;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
160;"E1";150;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
161;"E3";125;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
162;"E4";175;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
163;"E5";185;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
164;"E6";60;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
165;"E7";60;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
166;"E8";300;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
167;"E9";250;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
168;"E10";200;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
169;"E11";115;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
170;"E12";80;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
171;"E13";65;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
172;"E14";65;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
173;"E15";100;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
174;"E16";85;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
175;"E17";210;0;0;0;0;0;0;0,56;0;0;0;0;0,45;0;0;0
176;"E18";320;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
177;"E19";170;0;0;0;0;0;0;0;0;0;0;0;0,89;0,12;0;0
178;"E20";50;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
179;"E22";230;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
180;"E23";150;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
181;"E25";270;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
182;"E26";110;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
183;"E27";70;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
184;"E28";180;0;0;0;0;0;0;0,4;0;0;0;0;0,61;0;0;0
185;"E29";300;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
186;"E31";80;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
187;"E32";290;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
188;"E33";130;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
189;"E34";70;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
190;"E35";100;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
191;"E36";150;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
192;"E37";80;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
193;"E38";30;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
194;"E39";90;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
195;"E40";90;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
196;"E41";20;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
197;"E42";40;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
198;"E43";70;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
199;"E44";35;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
200;"E45";50;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
201;"E47";580;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
202;"E48";420;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
203;"E49";340;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
204;"E50";650;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
205;"J1";1060;0,05;0;0;0;0;0,08;0;0,28;0,19;0,39;0;0;0;0;0,05
206;"J2";1460;0,28;0;0;0;0;0,27;0;0,26;0;0,19;0;0;0;0;0,02
207;"J3";1080;0,57;0;0;0;0;0,26;0;0,18;0;0;0;0;0;0;0
208;"J4";1150;0,72;0;0;0;0;0,1;0;0,2;0;0;0;0;0;0;0
209;"J5";1210;0,96;0;0;0;0;0;0;0,03;0;0,02;0;0;0;0;0
210;"J6";1240;0;0;0;0;0;0;0;0,02;0;0,99;0;0;0;0;0
211;"J7";1350;0,07;0;0;0;0;0;0;0;0;0,94;0;0;0;0;0
212;"J8";1300;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
