"num","ptec","ACTR","CIMA","COCH","COCO","COFR","ESAM","ESAS","FOMA","FRPO","GEST","HYBO","LOPU","MAMA","PADO","PEAS","PHBO","PHLE","PLCU","PYJO","SATE","SECA","SEMO","STPI","TEBO","TUNI","ZOBO","ZOOL"
159,"TA182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
160,"E1",2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0
161,"E3",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
162,"E4",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
163,"E5",2,0,0,0,3,0,0,0,5,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0
164,"E6",0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,"E7",0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
166,"E8",0,0,0,0,0,0,2,8,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,10,0
167,"E9",0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,2,0
168,"E10",0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
169,"E11",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,"E12",2,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0
171,"E13",8,0,0,0,0,0,0,6,0,0,0,0,0,2,2,0,0,3,2,0,0,0,0,0,0,0,0
172,"E14",4,0,0,0,0,0,4,10,0,2,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0
173,"E15",3,0,0,0,0,0,3,5,0,1,0,0,0,0,6,0,0,5,1,0,0,0,0,0,0,1,0
174,"E16",2,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
175,"E17",1,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,4,0
