NOS	ALTI	ACDE	ACMI	BOCO	BRAN	CANN	CRYP	CULT	FOEX	FRAR	FRBA	PATU	SAAR	SAHE	TAMA	URBA
ID339	1390	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID340	1400	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID341	1440	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID342	1420	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID343	1335	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID344	1350	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID345	2880	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID346	2800	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID347	2770	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID348	2755	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID349	2720	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID350	2700	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID351	2630	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID352	2700	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID353	2780	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID354	2595	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID355	2555	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID356	2500	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID357	2540	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID358	2560	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID359	1540	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID360	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID361	1480	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID362	1480	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID363	1450	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID364	1460	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID365	1400	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID366	1430	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID367	1520	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID368	1310	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID369	1290	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID370	1265	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID371	1240	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID372	1220	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID373	1175	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID374	1530	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID375	1535	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID376	1550	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID377	1540	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID378	1390	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID379	1310	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID380	1400	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID381	1390	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID382	1360	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID383	1350	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID384	1400	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID385	1370	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID386	1340	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID387	1320	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID388	1300	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID389	1280	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID390	1340	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID391	1310	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID392	1350	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID393	1410	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID394	1390	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID395	1300	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID396	1310	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID397	1020	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID398	930	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID399	1250	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID400	1240	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID401	1030	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID402	1290	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID403	1250	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID404	1120	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID405	1080	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID406	1020	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID407	1240	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID408	1210	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID409	1160	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID410	1020	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
