NOS	ALTI	ACDE	ACMI	BOCO	BRAN	CANN	CRYP	CULT	FOEX	FRAR	FRBA	PATU	SAAR	SAHE	TAMA	URBA
ID72	930	0	0	0	0	0	0.1	0	0.36	0	0.54	0	0	0	0	0
ID73	900	0	0	0	0	0	0.25	0	0.39	0	0.35	0	0	0	0	0
ID74	850	0	0	0	0	0.96	0	0	0.04	0	0	0	0	0	0	0
ID75	790	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID76	820	0	0	0	0	0.22	0.21	0	0.31	0	0	0	0	0	0	0.27
ID77	880	0	0	0	0	0.46	0.07	0	0.48	0	0	0	0	0	0	0
ID78	800	0	0	0	0	0	0.61	0	0.39	0	0	0	0	0	0	0
ID79	750	0	0	0	0	0.74	0.15	0	0.12	0	0	0	0	0	0	0
ID80	1025	0	0	0.39	0	0	0	0	0.15	0	0.46	0	0	0	0	0
ID81	1000	0	0	0.08	0	0	0	0	0.27	0	0.65	0	0	0	0	0
ID82	940	0.06	0	0	0	0	0	0	0.44	0	0.5	0	0	0	0	0
ID83	900	0	0	0	0	0	0	0	0.67	0	0.33	0	0	0	0	0
ID84	890	0	0	0	0	0	0	0	0.25	0	0.75	0	0	0	0	0
ID85	1040	0.14	0	0.12	0	0	0.31	0	0.34	0	0.1	0	0	0	0	0
ID86	940	0	0	0	0	0.13	0.21	0	0.66	0	0	0	0	0	0	0
ID87	905	0	0	0	0	0.43	0	0	0.57	0	0	0	0	0	0	0
ID88	1700	0.32	0.25	0	0	0	0	0	0	0	0.26	0.17	0	0	0	0
ID89	1660	0	0	0	0	0	0	0	0.28	0	0.72	0	0	0	0	0
ID90	1730	0.02	0	0	0	0	0	0	0	0	0.62	0	0	0	0.36	0
ID91	1670	0.14	0	0	0	0	0	0	0.1	0	0.74	0.02	0	0	0.01	0
ID92	1640	0.27	0	0	0	0	0	0	0.08	0	0.62	0	0	0	0.02	0.01
ID93	1070	0.08	0	0.1	0	0	0	0	0.12	0	0.7	0	0	0	0	0
ID94	990	0.02	0	0	0	0.7	0.02	0	0.26	0	0	0	0	0	0	0
ID95	980	0.29	0	0	0	0	0.14	0	0.57	0	0	0	0	0	0	0
ID96	1010	0.07	0	0	0	0	0.51	0	0.41	0	0	0	0	0	0	0
ID97	1500	0.26	0	0	0	0	0.05	0	0.69	0	0	0	0	0	0	0
ID98	930	0.09	0	0	0	0.32	0.02	0	0.57	0	0	0	0	0	0	0
ID99	890	0.19	0	0	0	0.6	0	0	0.21	0	0	0	0	0	0	0
ID100	1960	0.04	0	0.13	0	0	0	0	0.1	0	0.7	0.04	0	0	0	0
ID101	1940	0.01	0	0.23	0	0	0	0	0.27	0	0.5	0	0	0	0	0
ID102	1705	0	0	0.42	0	0	0	0	0.33	0	0.25	0	0	0	0	0
ID103	2010	0	0	0.29	0	0	0	0	0.41	0	0.3	0	0	0	0	0
ID104	1540	0	0	0.44	0	0	0	0	0.12	0	0.45	0	0	0	0	0
ID105	1910	0	0	0.13	0	0	0	0	0.4	0	0.48	0	0	0	0	0
ID106	1020	0.29	0	0.34	0	0	0	0	0.13	0	0.24	0	0	0	0	0
ID107	960	0.23	0	0	0	0.41	0.14	0	0.23	0	0	0	0	0	0	0
ID108	940	0.22	0	0.71	0	0	0.06	0	0.02	0	0	0	0	0	0	0
ID109	980	0.25	0	0.34	0	0	0.22	0	0.15	0	0.05	0	0	0	0	0
ID110	930	0.24	0	0.3	0	0	0.26	0	0.18	0	0	0	0	0	0	0.01
ID111	880	0	0	0.62	0	0	0	0	0.22	0	0.16	0	0	0	0	0
ID112	890	0	0	0.81	0	0	0	0	0.19	0	0	0	0	0	0	0
ID113	850	0	0	0	0	0	0.37	0	0.45	0	0.12	0	0	0	0	0.06
ID114	1030	0.11	0	0	0	0	0	0	0.15	0	0.65	0.1	0	0	0	0
ID115	890	0.02	0	0	0	0	0.62	0	0.36	0	0	0	0	0	0	0
ID116	980	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID117	1370	0	0	0.28	0	0	0	0	0.02	0	0.7	0	0	0	0	0
ID118	1435	0.33	0	0.43	0	0	0	0	0.13	0	0.1	0	0	0	0	0
ID119	1510	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0.7	0
ID120	1570	0	0	0	0	0	0	0	0	0	0	0.19	0	0	0.81	0
ID121	790	0	0	0	0	0.83	0.01	0	0.06	0	0	0	0	0	0	0.1
ID122	755	0	0	0	0	0.93	0.04	0	0.03	0	0	0	0	0	0	0
ID123	725	0.02	0	0	0	0.98	0	0	0	0	0	0	0	0	0	0
ID124	680	0	0	0	0	0.86	0.04	0	0.06	0	0	0	0	0	0	0.04
ID125	650	0	0	0	0	0.83	0	0	0.05	0	0	0	0	0	0	0.12
ID126	630	0	0	0	0	0.66	0.03	0	0.12	0	0	0.2	0	0	0	0
ID127	570	0	0	0	0	0.71	0.06	0	0	0.06	0	0	0	0	0	0.17
ID128	550	0	0	0	0	0.83	0.17	0	0	0	0	0	0	0	0	0
ID129	520	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID130	480	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID131	440	0	0	0	0	0.88	0.12	0	0	0	0	0	0	0	0	0
ID132	410	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID133	350	0	0	0	0	0.95	0	0	0.05	0	0	0	0	0	0	0
ID134	300	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
